id,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호,배정된_반
202501,Andy,boy,90,a,노래,202502.0,202503.0,,,,,1
202502,Briada,girl,51,b,댄스,,,,yes,,,3
202503,Charlie,boy,91,c,야구,,,yes,,,yes,4
202504,Kevin W,boy,60,f,미술,,202677.0,,,,,5
202505,Matthew G,boy,96,f,댄스,,,,,yes,,3
202506,Kimberly T,girl,72,f,밴드,202517.0,,,,,,6
202507,Joshua H,boy,63,b,축구,,,,,,,3
202508,Jessica J,girl,95,c,밴드,,,,,,,4
202509,Jennifer H,girl,98,d,야구,,202536.0,,yes,,,1
202510,John G,boy,68,a,코딩,,,,,,,1
202511,Jessica S,girl,64,c,코딩,,,,,,yes,2
202512,Lauren S,girl,88,b,미술,,,,,,,6
202513,Robert B,boy,98,b,연극,,,,,,,2
202514,Emily G,girl,94,d,봉사,,,,,,,2
202515,Ashley B,girl,81,a,봉사,,202502.0,,,yes,,4
202516,Justin J,boy,96,e,독서,,,,,,yes,1
202517,Robert B,boy,93,a,코딩,,,,,,,4
202518,Andrew J,boy,71,b,야구,,,,,,yes,6
202519,Emily M,girl,61,f,축구,,,,,,yes,2
202520,Lauren G,girl,83,a,댄스,,,,,,,4
202521,Jennifer M,girl,74,a,연극,,202568.0,yes,,,,1
202522,Ryan T,boy,68,c,미술,,,yes,,,yes,3
202523,Brandon G,boy,97,a,연극,,,,yes,yes,,1
202524,Lauren J,girl,67,e,미술,,,,yes,,,6
202525,John M,boy,64,d,독서,,,,,,,6
202526,Joshua S,boy,76,b,밴드,,,,,,,1
202527,James T,boy,96,a,미술,,,,,,,2
202528,Daniel G,boy,75,d,야구,,,,,,,1
202529,Chris M,boy,95,a,야구,,,,yes,,,2
202530,John S,boy,60,f,밴드,,,,,,,4
202531,Jennifer S,girl,77,f,봉사,,,,,,,5
202532,David G,boy,81,e,연극,,,,,,,6
202533,Kevin J,boy,72,b,댄스,,,,,,,5
202534,Nicholas W,boy,98,f,봉사,,,,yes,,,5
202535,Jennifer W,girl,83,f,코딩,,,,yes,,,6
202536,Robert M,boy,61,c,독서,,,,,,,5
202537,Matthew H,boy,83,f,코딩,,,,,yes,,2
202538,Chris J,boy,81,b,축구,,,,,,,6
202539,Robert M,boy,77,a,밴드,,,,,,,5
202540,Emily W,girl,93,c,댄스,,,,yes,,,3
202541,Lauren M,girl,65,c,밴드,,,,,,,3
202542,Ryan M,boy,97,f,축구,,,yes,,,,6
202543,Justin T,boy,79,f,축구,,,,,,,4
202544,Jennifer L,girl,75,f,댄스,,,,,,,1
202545,William G,boy,97,e,미술,,,yes,,yes,,1
202546,David M,boy,69,e,축구,,,,,,,2
202547,Brian J,boy,98,d,야구,,,,,,yes,5
202548,David W,boy,90,c,독서,,,,,,,6
202549,Daniel D,boy,76,d,코딩,,,,,,,3
202550,Daniel J,boy,62,e,봉사,,,,,,,3
202551,David G,boy,67,b,독서,,,,,,,4
202552,Matthew D,boy,64,f,미술,,,,,,,1
202553,Michael B,boy,90,d,축구,,,,,,yes,4
202554,Lauren D,girl,95,b,연극,,,,yes,,,5
202555,Ashley S,girl,89,e,야구,,,,yes,yes,,1
202556,Kevin D,boy,78,c,노래,,,,,,,3
202557,James G,boy,84,c,노래,,,,,,yes,4
202558,Kevin D,boy,66,b,밴드,,,,,,yes,5
202559,David J,boy,63,c,코딩,,,,,yes,,5
202560,Kevin M,boy,92,e,미술,,,,,,,4
202561,James M,boy,62,d,봉사,,,,,,,1
202562,Justin J,boy,78,f,코딩,202545.0,202619.0,,,,,3
202563,Ashley M,girl,98,f,밴드,,,,,yes,,5
202564,Joseph M,boy,75,b,연극,,,,,,,3
202565,Chris G,boy,71,c,미술,,,,,,,5
202566,Brandon B,boy,93,d,미술,,,,,,,2
202567,Justin R,boy,69,b,노래,,,,,,,6
202568,William J,boy,93,d,봉사,,202521.0,,,,,2
202569,Sarah H,girl,91,e,연극,202682.0,,,,,,4
202570,James T,boy,94,d,연극,,,,,,,4
202571,John H,boy,71,d,미술,,,,yes,,,5
202572,Kimberly M,girl,82,b,노래,,,,,,,5
202573,Kimberly J,girl,64,f,봉사,,,,,,,4
202574,Michael G,boy,62,d,축구,,,,,,,1
202575,Brian D,boy,84,c,축구,,,yes,,,,3
202576,James S,boy,62,e,댄스,,,,yes,,,4
202577,Stephanie J,girl,88,c,밴드,,202650.0,,,,,3
202578,Jessica J,girl,97,d,독서,,,,yes,,,3
202579,Jennifer J,girl,66,a,밴드,,,,,,,2
202580,Robert H,boy,95,c,연극,,,,,,,3
202581,Ryan R,boy,62,d,연극,,,,,,,5
202582,Ashley W,girl,93,d,야구,,,,,,,5
202583,Lauren J,girl,85,e,독서,,,,,,,1
202584,Emily H,girl,82,b,코딩,,,,,,,2
202585,David B,boy,62,f,노래,,,yes,,,,5
202586,Joshua R,boy,77,d,독서,,,,,,,1
202587,Stephanie D,girl,92,e,독서,202678.0,,,,yes,,3
202588,James R,boy,83,b,미술,,,,,,,2
202589,Chris G,boy,83,e,야구,,,yes,,,,2
202590,Matthew M,boy,88,d,코딩,,,,,,,4
202591,Nicole S,girl,63,e,축구,,,,,,,5
202592,Joshua L,boy,84,c,야구,202613.0,,yes,,yes,,5
202593,Brian B,boy,73,c,연극,202632.0,,,,,,5
202594,Stephanie J,girl,68,e,댄스,,,,,,,2
202595,Justin H,boy,75,a,코딩,,,,,,,1
202596,Matthew J,boy,95,a,미술,202634.0,,,,,,5
202597,Nicholas S,boy,93,c,노래,,,,,,,6
202598,Emily M,girl,72,f,코딩,202588.0,202517.0,,,,,6
202599,Kimberly T,girl,72,d,댄스,,,,,,,6
202600,Joshua T,boy,84,d,독서,,,,,,,4
202601,Emily M,girl,75,b,연극,,202621.0,,,,,1
202602,Jessica D,girl,84,a,연극,,,,,,,6
202603,Ryan T,boy,82,b,축구,,,,,,,3
202604,Jessica W,girl,81,a,봉사,,,,,,,1
202605,Kevin M,boy,98,c,미술,,,,,,,3
202606,David G,boy,99,c,축구,,,,,,,1
202607,Michael M,boy,81,f,축구,,,,,,,2
202608,Joshua J,boy,72,d,봉사,,,,,,,3
202609,Ryan B,boy,73,d,댄스,,,,yes,,,6
202610,Daniel M,boy,60,f,봉사,,,,,,,4
202611,Brian M,boy,74,f,미술,,,yes,,,,1
202612,Michael M,boy,66,b,야구,,,,,,,5
202613,Justin W,boy,85,b,코딩,,,,,,,5
202614,Stephanie D,girl,84,e,연극,,202613.0,yes,,,,4
202615,Kimberly T,girl,93,c,미술,202670.0,,,,,,6
202616,Brian M,boy,65,d,야구,,,,,,,2
202617,Brandon M,boy,85,c,연극,,,,,,,3
202618,Robert M,boy,98,d,미술,,,,,,,1
202619,Joseph T,boy,84,f,밴드,,,,,,,6
202620,Ashley G,girl,81,c,미술,,,,,,,3
202621,Amanda T,girl,71,b,야구,,202601.0,,,,,6
202622,Justin D,boy,78,a,축구,,,,,,,2
202623,Ashley T,girl,94,d,노래,,,,,,,4
202624,Lauren S,girl,63,f,연극,,,,yes,,,4
202625,Nicholas J,boy,68,a,코딩,,,,,,,6
202626,Robert M,boy,70,e,야구,,,,,,,3
202627,Joseph L,boy,83,a,노래,,,,,,,2
202628,David J,boy,64,c,야구,202687.0,,,,,,3
202629,William M,boy,89,e,축구,,202639.0,yes,,,,4
